ABUNDANCE,BIOMAS,valid_name,SAMPLE_DESC,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
1,,Pseudotsuga menziesii,ALCO_CH17_1_2006_38869,45.041144,-123.910093,1,6,2006
8,,Pseudotsuga menziesii,DFGY_BRNA_1_1977_28369,44.942243,-122.172773,1,9,1977
8,,Pseudotsuga menziesii,DFGY_BRNA_1_1984_30864,44.942243,-122.172773,1,7,1984
8,,Pseudotsuga menziesii,DFGY_BRNA_1_1989_32721,44.942243,-122.172773,1,8,1989
8,,Pseudotsuga menziesii,DFGY_BRNA_1_1995_34881,44.942243,-122.172773,1,7,1995
8,,Pseudotsuga menziesii,DFGY_BRNA_1_2001_37104,44.942243,-122.172773,1,8,2001
8,,Pseudotsuga menziesii,DFGY_BRNA_1_2006_38930,44.942243,-122.172773,1,8,2006
5,,Pseudotsuga menziesii,DFGY_BRNA_10_1977_28369,44.942243,-122.172773,1,9,1977
5,,Pseudotsuga menziesii,DFGY_BRNA_10_1984_30864,44.942243,-122.172773,1,7,1984
5,,Pseudotsuga menziesii,DFGY_BRNA_10_1989_32721,44.942243,-122.172773,1,8,1989
5,,Pseudotsuga menziesii,DFGY_BRNA_10_1995_34881,44.942243,-122.172773,1,7,1995
5,,Pseudotsuga menziesii,DFGY_BRNA_10_2001_37104,44.942243,-122.172773,1,8,2001
5,,Pseudotsuga menziesii,DFGY_BRNA_10_2006_38930,44.942243,-122.172773,1,8,2006
3,,Pseudotsuga menziesii,DFGY_BRNA_11_1977_28369,44.942243,-122.172773,1,9,1977
3,,Pseudotsuga menziesii,DFGY_BRNA_11_1984_30864,44.942243,-122.172773,1,7,1984
3,,Pseudotsuga menziesii,DFGY_BRNA_11_1989_32721,44.942243,-122.172773,1,8,1989
3,,Pseudotsuga menziesii,DFGY_BRNA_11_1995_34881,44.942243,-122.172773,1,7,1995
3,,Pseudotsuga menziesii,DFGY_BRNA_11_2001_37104,44.942243,-122.172773,1,8,2001
2,,Pseudotsuga menziesii,DFGY_BRNA_11_2006_38930,44.942243,-122.172773,1,8,2006
7,,Pseudotsuga menziesii,DFGY_BRNA_12_1977_28369,44.942243,-122.172773,1,9,1977
7,,Pseudotsuga menziesii,DFGY_BRNA_12_1984_30864,44.942243,-122.172773,1,7,1984
7,,Pseudotsuga menziesii,DFGY_BRNA_12_1989_32721,44.942243,-122.172773,1,8,1989
6,,Pseudotsuga menziesii,DFGY_BRNA_12_1995_34881,44.942243,-122.172773,1,7,1995
5,,Pseudotsuga menziesii,DFGY_BRNA_12_2001_37104,44.942243,-122.172773,1,8,2001
5,,Pseudotsuga menziesii,DFGY_BRNA_12_2006_38930,44.942243,-122.172773,1,8,2006
13,,Pseudotsuga menziesii,DFGY_BRNA_13_1977_28369,44.942243,-122.172773,1,9,1977
13,,Pseudotsuga menziesii,DFGY_BRNA_13_1984_30864,44.942243,-122.172773,1,7,1984
13,,Pseudotsuga menziesii,DFGY_BRNA_13_1989_32721,44.942243,-122.172773,1,8,1989
13,,Pseudotsuga menziesii,DFGY_BRNA_13_1995_34881,44.942243,-122.172773,1,7,1995
6,,Pseudotsuga menziesii,DFGY_BRNA_13_2001_37104,44.942243,-122.172773,1,8,2001
5,,Pseudotsuga menziesii,DFGY_BRNA_13_2006_38930,44.942243,-122.172773,1,8,2006
7,,Pseudotsuga menziesii,DFGY_BRNA_14_1977_28369,44.942243,-122.172773,1,9,1977
7,,Pseudotsuga menziesii,DFGY_BRNA_14_1984_30864,44.942243,-122.172773,1,7,1984
7,,Pseudotsuga menziesii,DFGY_BRNA_14_1989_32721,44.942243,-122.172773,1,8,1989
7,,Pseudotsuga menziesii,DFGY_BRNA_14_1995_34881,44.942243,-122.172773,1,7,1995
7,,Pseudotsuga menziesii,DFGY_BRNA_14_2001_37104,44.942243,-122.172773,1,8,2001
7,,Pseudotsuga menziesii,DFGY_BRNA_14_2006_38930,44.942243,-122.172773,1,8,2006
7,,Pseudotsuga menziesii,DFGY_BRNA_15_1977_28369,44.942243,-122.172773,1,9,1977
7,,Pseudotsuga menziesii,DFGY_BRNA_15_1984_30864,44.942243,-122.172773,1,7,1984
7,,Pseudotsuga menziesii,DFGY_BRNA_15_1989_32721,44.942243,-122.172773,1,8,1989
7,,Pseudotsuga menziesii,DFGY_BRNA_15_1995_34881,44.942243,-122.172773,1,7,1995
7,,Pseudotsuga menziesii,DFGY_BRNA_15_2001_37104,44.942243,-122.172773,1,8,2001
7,,Pseudotsuga menziesii,DFGY_BRNA_15_2006_38930,44.942243,-122.172773,1,8,2006
7,,Pseudotsuga menziesii,DFGY_BRNA_16_1977_28369,44.942243,-122.172773,1,9,1977
7,,Pseudotsuga menziesii,DFGY_BRNA_16_1984_30864,44.942243,-122.172773,1,7,1984
7,,Pseudotsuga menziesii,DFGY_BRNA_16_1989_32721,44.942243,-122.172773,1,8,1989
7,,Pseudotsuga menziesii,DFGY_BRNA_16_1995_34881,44.942243,-122.172773,1,7,1995
7,,Pseudotsuga menziesii,DFGY_BRNA_16_2001_37104,44.942243,-122.172773,1,8,2001
7,,Pseudotsuga menziesii,DFGY_BRNA_16_2006_38930,44.942243,-122.172773,1,8,2006
7,,Pseudotsuga menziesii,DFGY_BRNA_2_1977_28369,44.942243,-122.172773,1,9,1977
7,,Pseudotsuga menziesii,DFGY_BRNA_2_1984_30864,44.942243,-122.172773,1,7,1984
7,,Pseudotsuga menziesii,DFGY_BRNA_2_1989_32721,44.942243,-122.172773,1,8,1989
7,,Pseudotsuga menziesii,DFGY_BRNA_2_1995_34881,44.942243,-122.172773,1,7,1995
7,,Pseudotsuga menziesii,DFGY_BRNA_2_2001_37104,44.942243,-122.172773,1,8,2001
7,,Pseudotsuga menziesii,DFGY_BRNA_2_2006_38930,44.942243,-122.172773,1,8,2006
4,,Pseudotsuga menziesii,DFGY_BRNA_3_1977_28369,44.942243,-122.172773,1,9,1977
4,,Pseudotsuga menziesii,DFGY_BRNA_3_1984_30864,44.942243,-122.172773,1,7,1984
4,,Pseudotsuga menziesii,DFGY_BRNA_3_1989_32721,44.942243,-122.172773,1,8,1989
4,,Pseudotsuga menziesii,DFGY_BRNA_3_1995_34881,44.942243,-122.172773,1,7,1995
4,,Pseudotsuga menziesii,DFGY_BRNA_3_2001_37104,44.942243,-122.172773,1,8,2001
4,,Pseudotsuga menziesii,DFGY_BRNA_3_2006_38930,44.942243,-122.172773,1,8,2006
8,,Pseudotsuga menziesii,DFGY_BRNA_4_1977_28369,44.942243,-122.172773,1,9,1977
8,,Pseudotsuga menziesii,DFGY_BRNA_4_1984_30864,44.942243,-122.172773,1,7,1984
8,,Pseudotsuga menziesii,DFGY_BRNA_4_1989_32721,44.942243,-122.172773,1,8,1989
8,,Pseudotsuga menziesii,DFGY_BRNA_4_1995_34881,44.942243,-122.172773,1,7,1995
7,,Pseudotsuga menziesii,DFGY_BRNA_4_2001_37104,44.942243,-122.172773,1,8,2001
7,,Pseudotsuga menziesii,DFGY_BRNA_4_2006_38930,44.942243,-122.172773,1,8,2006
11,,Pseudotsuga menziesii,DFGY_BRNA_5_1977_28369,44.942243,-122.172773,1,9,1977
11,,Pseudotsuga menziesii,DFGY_BRNA_5_1984_30864,44.942243,-122.172773,1,7,1984
11,,Pseudotsuga menziesii,DFGY_BRNA_5_1989_32721,44.942243,-122.172773,1,8,1989
1,,Pseudotsuga menziesii,DFGY_BRNA_5_1990_33086,44.942243,-122.172773,1,8,1990
9,,Pseudotsuga menziesii,DFGY_BRNA_5_1995_34881,44.942243,-122.172773,1,7,1995
9,,Pseudotsuga menziesii,DFGY_BRNA_5_2001_37104,44.942243,-122.172773,1,8,2001
9,,Pseudotsuga menziesii,DFGY_BRNA_5_2006_38930,44.942243,-122.172773,1,8,2006
13,,Pseudotsuga menziesii,DFGY_BRNA_6_1977_28369,44.942243,-122.172773,1,9,1977
13,,Pseudotsuga menziesii,DFGY_BRNA_6_1984_30864,44.942243,-122.172773,1,7,1984
13,,Pseudotsuga menziesii,DFGY_BRNA_6_1989_32721,44.942243,-122.172773,1,8,1989
1,,Pseudotsuga menziesii,DFGY_BRNA_6_1990_33086,44.942243,-122.172773,1,8,1990
12,,Pseudotsuga menziesii,DFGY_BRNA_6_1995_34881,44.942243,-122.172773,1,7,1995
5,,Pseudotsuga menziesii,DFGY_BRNA_6_2001_37104,44.942243,-122.172773,1,8,2001
5,,Pseudotsuga menziesii,DFGY_BRNA_6_2006_38930,44.942243,-122.172773,1,8,2006
4,,Pseudotsuga menziesii,DFGY_BRNA_7_1977_28369,44.942243,-122.172773,1,9,1977
4,,Pseudotsuga menziesii,DFGY_BRNA_7_1984_30864,44.942243,-122.172773,1,7,1984
4,,Pseudotsuga menziesii,DFGY_BRNA_7_1989_32721,44.942243,-122.172773,1,8,1989
4,,Pseudotsuga menziesii,DFGY_BRNA_7_1995_34881,44.942243,-122.172773,1,7,1995
4,,Pseudotsuga menziesii,DFGY_BRNA_7_2001_37104,44.942243,-122.172773,1,8,2001
4,,Pseudotsuga menziesii,DFGY_BRNA_7_2006_38930,44.942243,-122.172773,1,8,2006
10,,Pseudotsuga menziesii,DFGY_BRNA_8_1977_28369,44.942243,-122.172773,1,9,1977
10,,Pseudotsuga menziesii,DFGY_BRNA_8_1984_30864,44.942243,-122.172773,1,7,1984
10,,Pseudotsuga menziesii,DFGY_BRNA_8_1989_32721,44.942243,-122.172773,1,8,1989
9,,Pseudotsuga menziesii,DFGY_BRNA_8_1995_34881,44.942243,-122.172773,1,7,1995
7,,Pseudotsuga menziesii,DFGY_BRNA_8_2001_37104,44.942243,-122.172773,1,8,2001
7,,Pseudotsuga menziesii,DFGY_BRNA_8_2006_38930,44.942243,-122.172773,1,8,2006
13,,Pseudotsuga menziesii,DFGY_BRNA_9_1977_28369,44.942243,-122.172773,1,9,1977
13,,Pseudotsuga menziesii,DFGY_BRNA_9_1984_30864,44.942243,-122.172773,1,7,1984
13,,Pseudotsuga menziesii,DFGY_BRNA_9_1989_32721,44.942243,-122.172773,1,8,1989
13,,Pseudotsuga menziesii,DFGY_BRNA_9_1995_34881,44.942243,-122.172773,1,7,1995
13,,Pseudotsuga menziesii,DFGY_BRNA_9_2001_37104,44.942243,-122.172773,1,8,2001
13,,Pseudotsuga menziesii,DFGY_BRNA_9_2006_38930,44.942243,-122.172773,1,8,2006
96,,Pseudotsuga menziesii,DFGY_CH14_1_1935_12966,45.0417,-123.9183,1,7,1935
96,,Pseudotsuga menziesii,DFGY_CH14_1_1940_14824,45.0417,-123.9183,1,8,1940
95,,Pseudotsuga menziesii,DFGY_CH14_1_1946_17046,45.0417,-123.9183,1,9,1946
93,,Pseudotsuga menziesii,DFGY_CH14_1_1951_18872,45.0417,-123.9183,1,9,1951
92,,Pseudotsuga menziesii,DFGY_CH14_1_1957_20941,45.0417,-123.9183,1,5,1957
89,,Pseudotsuga menziesii,DFGY_CH14_1_1978_28825,45.0417,-123.9183,1,12,1978
64,,Pseudotsuga menziesii,DFGY_CH14_1_1983_30407,45.0417,-123.9183,1,4,1983
5,,Pseudotsuga menziesii,DFGY_CH14_1_1984_30773,45.0417,-123.9183,1,4,1984
4,,Pseudotsuga menziesii,DFGY_CH14_1_1986_31594,45.0417,-123.9183,1,7,1986
52,,Pseudotsuga menziesii,DFGY_CH14_1_1989_32599,45.0417,-123.9183,1,4,1989
52,,Pseudotsuga menziesii,DFGY_CH14_1_1994_34394,45.0417,-123.9183,1,3,1994
52,,Pseudotsuga menziesii,DFGY_CH14_1_1999_36251,45.0417,-123.9183,1,4,1999
51,,Pseudotsuga menziesii,DFGY_CH14_1_2004_38108,45.0417,-123.9183,1,5,2004
51,,Pseudotsuga menziesii,DFGY_CH14_1_2009_39873,45.0417,-123.9183,1,3,2009
125,,Pseudotsuga menziesii,DFGY_CH41_1_1940_14855,45.0313,-123.9202,1,9,1940
4,,Pseudotsuga menziesii,DFGY_CH41_1_1946_17046,45.0313,-123.9202,1,9,1946
121,,Pseudotsuga menziesii,DFGY_CH41_1_1946_17076,45.0313,-123.9202,1,10,1946
121,,Pseudotsuga menziesii,DFGY_CH41_1_1951_18872,45.0313,-123.9202,1,9,1951
119,,Pseudotsuga menziesii,DFGY_CH41_1_1957_20941,45.0313,-123.9202,1,5,1957
114,,Pseudotsuga menziesii,DFGY_CH41_1_1978_28825,45.0313,-123.9202,1,12,1978
96,,Pseudotsuga menziesii,DFGY_CH41_1_1983_30407,45.0313,-123.9202,1,4,1983
1,,Pseudotsuga menziesii,DFGY_CH41_1_1985_31168,45.0313,-123.9202,1,5,1985
88,,Pseudotsuga menziesii,DFGY_CH41_1_1989_32599,45.0313,-123.9202,1,4,1989
85,,Pseudotsuga menziesii,DFGY_CH41_1_1994_34394,45.0313,-123.9202,1,3,1994
81,,Pseudotsuga menziesii,DFGY_CH41_1_1999_36251,45.0313,-123.9202,1,4,1999
79,,Pseudotsuga menziesii,DFGY_CH41_1_2004_38108,45.0313,-123.9202,1,5,2004
77,,Pseudotsuga menziesii,DFGY_CH41_1_2009_39873,45.0313,-123.9202,1,3,2009
95,,Pseudotsuga menziesii,DFGY_CH42_1_1940_14855,45.0318,-123.9216,1,9,1940
95,,Pseudotsuga menziesii,DFGY_CH42_1_1946_17076,45.0318,-123.9216,1,10,1946
87,,Pseudotsuga menziesii,DFGY_CH42_1_1951_18872,45.0318,-123.9216,1,9,1951
5,,Pseudotsuga menziesii,DFGY_CH42_1_1957_20911,45.0318,-123.9216,1,4,1957
78,,Pseudotsuga menziesii,DFGY_CH42_1_1957_20941,45.0318,-123.9216,1,5,1957
1,,Pseudotsuga menziesii,DFGY_CH42_1_1957_21155,45.0318,-123.9216,1,12,1957
1,,Pseudotsuga menziesii,DFGY_CH42_1_1978_28611,45.0318,-123.9216,1,5,1978
78,,Pseudotsuga menziesii,DFGY_CH42_1_1978_28825,45.0318,-123.9216,1,12,1978
71,,Pseudotsuga menziesii,DFGY_CH42_1_1983_30407,45.0318,-123.9216,1,4,1983
1,,Pseudotsuga menziesii,DFGY_CH42_1_1984_30773,45.0318,-123.9216,1,4,1984
1,,Pseudotsuga menziesii,DFGY_CH42_1_1985_31168,45.0318,-123.9216,1,5,1985
2,,Pseudotsuga menziesii,DFGY_CH42_1_1986_31594,45.0318,-123.9216,1,7,1986
61,,Pseudotsuga menziesii,DFGY_CH42_1_1989_32599,45.0318,-123.9216,1,4,1989
61,,Pseudotsuga menziesii,DFGY_CH42_1_1994_34394,45.0318,-123.9216,1,3,1994
55,,Pseudotsuga menziesii,DFGY_CH42_1_1999_36251,45.0318,-123.9216,1,4,1999
52,,Pseudotsuga menziesii,DFGY_CH42_1_2004_38108,45.0318,-123.9216,1,5,2004
52,,Pseudotsuga menziesii,DFGY_CH42_1_2009_39873,45.0318,-123.9216,1,3,2009
227,,Pseudotsuga menziesii,DFGY_GP01_1_1927_9894,46.456224,-121.85992,1,2,1927
1,,Pseudotsuga menziesii,DFGY_GP01_1_1932_11720,46.456224,-121.85992,1,2,1932
226,,Pseudotsuga menziesii,DFGY_GP01_1_1932_11749,46.456224,-121.85992,1,3,1932
205,,Pseudotsuga menziesii,DFGY_GP01_1_1937_13547,46.456224,-121.85992,1,2,1937
180,,Pseudotsuga menziesii,DFGY_GP01_1_1943_15766,46.456224,-121.85992,1,3,1943
3,,Pseudotsuga menziesii,DFGY_GP01_1_1948_17624,46.456224,-121.85992,1,4,1948
161,,Pseudotsuga menziesii,DFGY_GP01_1_1952_19238,46.456224,-121.85992,1,9,1952
140,,Pseudotsuga menziesii,DFGY_GP01_1_1957_21002,46.456224,-121.85992,1,7,1957
10,,Pseudotsuga menziesii,DFGY_GP01_1_1957_21064,46.456224,-121.85992,1,9,1957
140,,Pseudotsuga menziesii,DFGY_GP01_1_1972_26359,46.456224,-121.85992,1,3,1972
117,,Pseudotsuga menziesii,DFGY_GP01_1_1983_30498,46.456224,-121.85992,1,7,1983
2,,Pseudotsuga menziesii,DFGY_GP01_1_1987_31929,46.456224,-121.85992,1,6,1987
98,,Pseudotsuga menziesii,DFGY_GP01_1_1989_32721,46.456224,-121.85992,1,8,1989
1,,Pseudotsuga menziesii,DFGY_GP01_1_1989_32752,46.456224,-121.85992,1,9,1989
98,,Pseudotsuga menziesii,DFGY_GP01_1_1994_34547,46.456224,-121.85992,1,8,1994
47,,Pseudotsuga menziesii,DFGY_GP01_1_1999_36373,46.456224,-121.85992,1,8,1999
46,,Pseudotsuga menziesii,DFGY_GP01_1_2005_38443,46.456224,-121.85992,1,4,2005
2,,Pseudotsuga menziesii,DFGY_GP01_1_2005_38473,46.456224,-121.85992,1,5,2005
46,,Pseudotsuga menziesii,DFGY_GP01_1_2010_40391,46.456224,-121.85992,1,8,2010
2,,Pinus monticola,DFGY_GP02_1_1927_9894,46.456478,-121.862195,1,2,1927
293,,Pseudotsuga menziesii,DFGY_GP02_1_1927_9894,46.456478,-121.862195,1,2,1927
2,,Pinus monticola,DFGY_GP02_1_1932_11749,46.456478,-121.862195,1,3,1932
293,,Pseudotsuga menziesii,DFGY_GP02_1_1932_11749,46.456478,-121.862195,1,3,1932
2,,Pinus monticola,DFGY_GP02_1_1937_13547,46.456478,-121.862195,1,2,1937
280,,Pseudotsuga menziesii,DFGY_GP02_1_1937_13547,46.456478,-121.862195,1,2,1937
2,,Pinus monticola,DFGY_GP02_1_1943_15797,46.456478,-121.862195,1,4,1943
234,,Pseudotsuga menziesii,DFGY_GP02_1_1943_15797,46.456478,-121.862195,1,4,1943
1,,Pinus monticola,DFGY_GP02_1_1948_17624,46.456478,-121.862195,1,4,1948
8,,Pseudotsuga menziesii,DFGY_GP02_1_1948_17624,46.456478,-121.862195,1,4,1948
1,,Pinus monticola,DFGY_GP02_1_1952_19238,46.456478,-121.862195,1,9,1952
182,,Pseudotsuga menziesii,DFGY_GP02_1_1952_19238,46.456478,-121.862195,1,9,1952
172,,Pseudotsuga menziesii,DFGY_GP02_1_1957_21002,46.456478,-121.862195,1,7,1957
256,,Pseudotsuga menziesii,DFGY_GP03_1_1927_9894,46.457679,-121.861413,1,2,1927
1,,Pseudotsuga menziesii,DFGY_GP03_1_1932_11720,46.457679,-121.861413,1,2,1932
255,,Pseudotsuga menziesii,DFGY_GP03_1_1932_11749,46.457679,-121.861413,1,3,1932
249,,Pseudotsuga menziesii,DFGY_GP03_1_1937_13547,46.457679,-121.861413,1,2,1937
1,,Pseudotsuga menziesii,DFGY_GP03_1_1937_13697,46.457679,-121.861413,1,7,1937
215,,Pseudotsuga menziesii,DFGY_GP03_1_1943_15766,46.457679,-121.861413,1,3,1943
1,,Pseudotsuga menziesii,DFGY_GP03_1_1943_15888,46.457679,-121.861413,1,7,1943
13,,Pseudotsuga menziesii,DFGY_GP03_1_1948_17624,46.457679,-121.861413,1,4,1948
1,,Pseudotsuga menziesii,DFGY_GP03_1_1952_19176,46.457679,-121.861413,1,7,1952
175,,Pseudotsuga menziesii,DFGY_GP03_1_1952_19238,46.457679,-121.861413,1,9,1952
132,,Pseudotsuga menziesii,DFGY_GP03_1_1957_21002,46.457679,-121.861413,1,7,1957
21,,Pseudotsuga menziesii,DFGY_GP03_1_1957_21064,46.457679,-121.861413,1,9,1957
132,,Pseudotsuga menziesii,DFGY_GP03_1_1983_30498,46.457679,-121.861413,1,7,1983
1,,Pseudotsuga menziesii,DFGY_GP03_1_1987_31929,46.457679,-121.861413,1,6,1987
108,,Pseudotsuga menziesii,DFGY_GP03_1_1989_32721,46.457679,-121.861413,1,8,1989
103,,Pseudotsuga menziesii,DFGY_GP03_1_1994_34547,46.457679,-121.861413,1,8,1994
88,,Pseudotsuga menziesii,DFGY_GP03_1_1999_36373,46.457679,-121.861413,1,8,1999
80,,Pseudotsuga menziesii,DFGY_GP03_1_2005_38443,46.457679,-121.861413,1,4,2005
1,,Pseudotsuga menziesii,DFGY_GP03_1_2005_38473,46.457679,-121.861413,1,5,2005
78,,Pseudotsuga menziesii,DFGY_GP03_1_2010_40391,46.457679,-121.861413,1,8,2010
1,,Pinus monticola,DFGY_GP04_1_1927_9894,46.455339,-121.857343,1,2,1927
166,,Pseudotsuga menziesii,DFGY_GP04_1_1927_9894,46.455339,-121.857343,1,2,1927
1,,Pinus monticola,DFGY_GP04_1_1932_11749,46.455339,-121.857343,1,3,1932
166,,Pseudotsuga menziesii,DFGY_GP04_1_1932_11749,46.455339,-121.857343,1,3,1932
1,,Pinus monticola,DFGY_GP04_1_1937_13547,46.455339,-121.857343,1,2,1937
154,,Pseudotsuga menziesii,DFGY_GP04_1_1937_13547,46.455339,-121.857343,1,2,1937
1,,Pinus monticola,DFGY_GP04_1_1943_15766,46.455339,-121.857343,1,3,1943
142,,Pseudotsuga menziesii,DFGY_GP04_1_1943_15766,46.455339,-121.857343,1,3,1943
9,,Pseudotsuga menziesii,DFGY_GP04_1_1948_17624,46.455339,-121.857343,1,4,1948
1,,Pinus monticola,DFGY_GP04_1_1952_19238,46.455339,-121.857343,1,9,1952
109,,Pseudotsuga menziesii,DFGY_GP04_1_1952_19238,46.455339,-121.857343,1,9,1952
1,,Pinus monticola,DFGY_GP04_1_1957_21002,46.455339,-121.857343,1,7,1957
103,,Pseudotsuga menziesii,DFGY_GP04_1_1957_21002,46.455339,-121.857343,1,7,1957
1,,Pinus monticola,DFGY_GP05_1_1927_9863,46.445363,-121.843052,1,1,1927
185,,Pseudotsuga menziesii,DFGY_GP05_1_1927_9863,46.445363,-121.843052,1,1,1927
1,,Pinus monticola,DFGY_GP05_1_1932_11749,46.445363,-121.843052,1,3,1932
185,,Pseudotsuga menziesii,DFGY_GP05_1_1932_11749,46.445363,-121.843052,1,3,1932
1,,Pinus monticola,DFGY_GP05_1_1937_13547,46.445363,-121.843052,1,2,1937
179,,Pseudotsuga menziesii,DFGY_GP05_1_1937_13547,46.445363,-121.843052,1,2,1937
1,,Pinus monticola,DFGY_GP05_1_1943_15766,46.445363,-121.843052,1,3,1943
163,,Pseudotsuga menziesii,DFGY_GP05_1_1943_15766,46.445363,-121.843052,1,3,1943
10,,Pseudotsuga menziesii,DFGY_GP05_1_1948_17624,46.445363,-121.843052,1,4,1948
1,,Pinus monticola,DFGY_GP05_1_1952_19238,46.445363,-121.843052,1,9,1952
127,,Pseudotsuga menziesii,DFGY_GP05_1_1952_19238,46.445363,-121.843052,1,9,1952
1,,Pinus monticola,DFGY_GP05_1_1957_21002,46.445363,-121.843052,1,7,1957
119,,Pseudotsuga menziesii,DFGY_GP05_1_1957_21002,46.445363,-121.843052,1,7,1957
1,,Pinus monticola,DFGY_GP05_1_1972_26481,46.445363,-121.843052,1,7,1972
114,,Pseudotsuga menziesii,DFGY_GP05_1_1972_26481,46.445363,-121.843052,1,7,1972
103,,Pseudotsuga menziesii,DFGY_GP05_1_1983_30498,46.445363,-121.843052,1,7,1983
2,,Pseudotsuga menziesii,DFGY_GP05_1_1987_31929,46.445363,-121.843052,1,6,1987
90,,Pseudotsuga menziesii,DFGY_GP05_1_1989_32721,46.445363,-121.843052,1,8,1989
1,,Pseudotsuga menziesii,DFGY_GP05_1_1989_32752,46.445363,-121.843052,1,9,1989
90,,Pseudotsuga menziesii,DFGY_GP05_1_1994_34547,46.445363,-121.843052,1,8,1994
82,,Pseudotsuga menziesii,DFGY_GP05_1_1999_36373,46.445363,-121.843052,1,8,1999
1,,Pseudotsuga menziesii,DFGY_GP05_1_1999_36404,46.445363,-121.843052,1,9,1999
62,,Pseudotsuga menziesii,DFGY_GP05_1_2005_38596,46.445363,-121.843052,1,9,2005
58,,Pseudotsuga menziesii,DFGY_GP05_1_2010_40391,46.445363,-121.843052,1,8,2010
241,,Pseudotsuga menziesii,DFGY_GP07_1_1927_9863,46.550193,-121.971455,1,1,1927
241,,Pseudotsuga menziesii,DFGY_GP07_1_1932_11749,46.550193,-121.971455,1,3,1932
229,,Pseudotsuga menziesii,DFGY_GP07_1_1937_13547,46.550193,-121.971455,1,2,1937
200,,Pseudotsuga menziesii,DFGY_GP07_1_1943_15766,46.550193,-121.971455,1,3,1943
13,,Pseudotsuga menziesii,DFGY_GP07_1_1948_17624,46.550193,-121.971455,1,4,1948
176,,Pseudotsuga menziesii,DFGY_GP07_1_1952_19238,46.550193,-121.971455,1,9,1952
167,,Pseudotsuga menziesii,DFGY_GP07_1_1957_21002,46.550193,-121.971455,1,7,1957
154,,Pseudotsuga menziesii,DFGY_GP07_1_1983_30498,46.550193,-121.971455,1,7,1983
93,,Pseudotsuga menziesii,DFGY_GP07_1_1989_32721,46.550193,-121.971455,1,8,1989
4,,Pseudotsuga menziesii,DFGY_GP07_1_1989_32752,46.550193,-121.971455,1,9,1989
